Author,author_id
Arthur Pober,902
Alison Lurie,903
Nancy Bond,904
Ann Thwaite,905
Amy Cotler,906
Prudence See,907
Thomas Sowell,908
Selina Shirley Hastings,909
Juan Wijngaard,910
Alcoholics Anonymous,911
Overeaters Anonymous,912
Kimon Nicolaides,913
Mamie Harmon,914
Andrew Weil,915
Jonathan Safran Foer,916
Robert Giroux,917
Jonathan Rosen,918
Lawrence M. Lasher,919
Aleksandar Hemon,920
Matthew Barber,921
Elizabeth von Arnim,922
Benjamin DeMott,923
Lionel Trilling,924
Gilbert Adair,925
Elizabeth Heine,926
P.N. Furbank,927
Robert Hellenga,928
Gordon S. Wood,929
Gordon Korman,930
Deborah  Gordon,931
Ivo Andrić,932
William H. McNeill,933
Jean Estoril,934
Pascale Delpech,935
Mabel Esther Allan,936
Reginald E. Allen,937
Aristotle,938
W.S. Hett,939
Ian C. Storey,940
Gilbert Murray,941
Alan Brennert,942
Eric Jensen,943
Angus Gellatly,944
Oscar Zárate,945
Richard Appignanesi,946
Isabel Allende,947
Margaret Sayers Peden,948
Richard D. Woods,949
Kenneth M. Taggart,950
Ernst E. Jonas,951
Jenny Sanders,952
S.D. Schindler,953
Dalai Lama XIV,954
Open City Magazine,955
James Purdy,956
Deborah Garrison,957
Rem Koolhaas,958
Rick Moody,959
Strawberry Saroyan,960
Debra Garrison,961
Wallace Stegner,962
Jackson J. Benson,963
Steve Krug,964
Louis de Bernières,965
Faïza Guène,966
Sarah    Adams,967
Lawrence Otis Graham,968
Otis Williams,969
Patricia Romanowski,970
Colleen McCullough,971
Jill Colella,972
Mitch Albom,973
Tim O'Brien,974
Nicholas Sparks,975
Micah Sparks,976
Ramón González Férriz,977
Gwyn Hyman Rubio,978
Lori Avocato,979
Dana Cameron,980
Mary Dahiem,981
Suzanne Macpherson,982
Cait London,983
Kerrelyn Sparks,984
Mary Daheim,985
Marisha Pessl,986
Lois Beckwith,987
Baruch Spinoza,988
Janet Evanovich,989
Jayne Ann Krentz,990
Sarah Ban Breathnach,991
Marjorie Weinman Sharmat,992
Mitchell Sharmat,993
George E. Stanley,994
Kaho Miyasaka,995
Fulton J. Sheen,996
George MacDonald,997
Michael R. Phillips,998
Ivan Turgenev,999
Jane Moore,1000
Amanda Clark,1001
Justin   O'Brien,1002
Antonio Gramsci,1003
L.M. Montgomery,1004
Mary Henley Rubio,1005
Elizabeth Hillman Waterston,1006
Rea Wilmshurst,1007
Susan O'Malley,1008
Arthur Conan Doyle,1009
Leslie S. Klinger,1010
E.J. Wagner,1011
John Gielgud,1012
Ralph Richardson,1013
Orson Welles,1014
Nick Rennison,1015
NOT A BOOK,1016
Paul Bachem,1017
Eric Tyson,1018
Rich Tennant,1019
Clare Naylor,1020
Bruce H. Wilkinson,1021
David Kopp,1022
Heather Harpham Kopp,1023
Lois Lowry,1024
Bill Brittain,1025
Andrew Glass,1026
Jack Weatherford,1027
Claire Messud,1028
Zadie Smith,1029
Libba Bray,1030
Kym Douglas,1031
Cindy Pearlman,1032
Anna Sewell,1033
Ann Patchett,1034
Norman Sherry,1035
Graham Greene,1036
Pico Iyer,1037
John Updike,1038
Christopher Hitchens,1039
Paul Theroux,1040
Robert  Stone,1041
Chuck Palahniuk,1042
Warner Berthoff,1043
Robert Penn Warren,1044
G. Thomas Tanselle,1045
Harrison Hayford,1046
Harold Beaver,1047
Helen Ericson,1048
Maya Gold,1049
Ian Fleming,1050
Madeleine Brent,1051
George Condo,1052
Noel Streatfeild,1053
Diane Goode,1054
Rumer Godden,1055
Gary Blythe,1056
Christian Birmingham,1057
Anne Chisholm,1058
Jonathan Franzen,1059
Lisa Whelchel,1060
Stormie Omartian,1061
P.D. James,1062
Henri Blocher,1063
Nina Bangs,1064
Michael Jan Friedman,1065
Christa Seibicke,1066
Miguel de Cervantes Saavedra,1067
John Rutherford,1068
Roberto González Echevarría,1069
Walter Starkie,1070
Tobias Smollett,1071
Carlos Fuentes,1072
Vladimir Nabokov,1073
Fredson Bowers,1074
Guy Davenport,1075
Samuel Putnam,1076
J.A. Jance,1077
Fern Michaels,1078
Eric Klinenberg,1079
Lora Leigh,1080
Sherri L. King,1081
Lorie O'Clare,1082
Jaci Burton,1083
Ruth Prawer Jhabvala,1084
Sarah Macdonald,1085
Joel Salatin,1086
Michael Pollan,1087
Nicole Krauss,1088
Thomas E. Woods Jr.,1089
Tom Standage,1090
Karen Armstrong,1091
William Hurt,1092
Barbara Fairchild,1093
Ina Garten,1094
Melanie Acevedo,1095
Diane Johnson,1096
Leonard Michaels,1097
Carlos Milla Soler,1098
Roberto Fernandez Sastre,1099
Laura Dave,1100
Dan Simmons,1101
Carlos Alberto Gardini,1102
J. Michael Straczynski,1103
Dan Jurgens,1104
Joachim Körber,1105
Michael Chabon,1106
Glen David Gold,1107
Bill Sienkiewicz,1108
Howard Chaykin,1109
Gene Colan,1110
Steve Lieber,1111
Eric Wight,1112
Kevin  McCarthy,1113
Max Lucado,1114
Nick Caistor,1115
J.D. Salinger,1116
Brenda Walpole,1117
Bret Easton Ellis,1118
Scott Turow,1119
Pete Hautman,1120
Ronald B. Flowers,1121
Thomas  Moore,1122
Elizabeth Clare Prophet,1123
Arielle Ford,1124
Deepak Chopra,1125
Viktor E. Frankl,1126
Harold S. Kushner,1127
William J. Winslade,1128
Isle Lasch,1129
Gordon W. Allport,1130
Ilse Lasch,1131
Eric R. Kandel,1132
Peter Kent,1133
Johanna Rothman,1134
Esther Derby,1135
Brigid Avison,1136
Roderick Townley,1137
Ray Oldenburg,1138
James C. Collins,1139
Jerry I. Porras,1140
Amy Sedaris,1141
David Sedaris,1142
Richard Yates,1143
Dorothy Parker,1144
Joyce Carol Oates,1145
Lorrie Moore,1146
Flannery O'Connor,1147
Amy Hempel,1148
Akhil   Sharma,1149
Tim Johnston,1150
Tobias Wolff,1151
Sarah Vowell,1152
Charles Baxter,1153
Jhumpa Lahiri,1154
Katherine Mansfield,1155
Alice Munro,1156
Jean Thompson,1157
Frank Gannon,1158
Patricia Highsmith,1159
Jincy Willett,1160
Ben Mezrich,1161
Pat Williams,1162
Peggy Matthews Rose,1163
Efrem Smith,1164
Phil   Jackson,1165
Tom Stanton,1166
James Ellroy,1167
Hans Blumenberg,1168
Greg  Taylor,1169
Larry Burkett,1170
Robert Anton Wilson,1171
Paul Michael,1172
Juanjo Estrella,1173
Bart D. Ehrman,1174
Nick Hornby,1175
Jess Walter,1176
Jennie Erdal,1177
Joshua Ferris,1178
D.J. Taylor,1179
Huw Richards,1180
Chris Pierson,1181
Roddy Doyle,1182
Harry Ritchie,1183
Harry Pearson,1184
Olly Wicken,1185
Graham Brack,1186
Matt Nation,1187
Ed Horton,1188
Don  Watson,1189
Ruth Downie,1190
Middlesex Borough Heritage Committee,1191
Stephen J. Burn,1192
Anthony Kiedis,1193
Éric-Emmanuel Schmitt,1194
Sonallah Ibrahim,1195
صنع الله إبراهيم,1196
Anthony Calderbank,1197
Sarah Dessen,1198
Dale Brown,1199
Jim DeFelice,1200
Chris  Williams,1201
Sandy Petersen,1202
Aidan Hartley,1203
Anderson Cooper,1204
Michael Herr,1205
Bentley Little,1206
Robert D. Siegel,1207
Todd Hanson,1208
Carol Kolb,1209
The Onion,1210
Ian Whybrow,1211
Deborah Allwright,1212
Joanne Rocklin,1213
Meredith Johnson,1214
Anthony Loyd,1215
Anthony Shadid,1216
Suketu Mehta,1217
Andrew X. Pham,1218
Chanrithy Him,1219
Loung Ung,1220
Ray Bradbury,1221
Christopher Hurt,1222
Robert DeMott,1223
Mick Wiggins,1224
Kelly McGrath Vlcek,1225
Neil Gaiman,1226
Jon Meacham,1227
Stephen Oppenheimer,1228
Yona Zeldis McDonough,1229
Nancy Harrison,1230
Jill Weber,1231
Harrison Edward Livingstone,1232
Robert Dallek,1233
Augusten Burroughs,1234
M. Scott Peck,1235
John Irving,1236
Atul Gawande,1237
Susanne Kuhlmann-Krieg,1238
Judith Viorst,1239
Richard  Hull,1240
Helen Fielding,1241
Carlos Ruiz Zafón,1242
Ruby K. Payne,1243
Lucia Graves,1244
David A. Black,1245
